SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,1000,0.2731,273.11
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A6,25,3.7500,93.75
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A6,50,2.0183,100.92
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A6,75,1.4468,108.51
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A6,100,1.1610,116.10
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A6,250,0.5926,148.15
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A6,500,0.3902,195.09
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A6,1000,0.3711,371.11
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,25,4.8270,120.68
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,50,2.4454,122.27
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,75,1.6725,125.44
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,100,1.2832,128.32
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,250,0.6034,150.85
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,500,0.3398,169.90
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,1000,0.3033,303.28
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A6,25,5.1470,128.68
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A6,50,2.6854,134.27
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A6,75,1.9125,143.44
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A6,100,1.5232,152.32
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A6,250,0.7514,187.85
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A6,500,0.4378,218.90
