SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,1000,0.1032,103.22
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A2,100,0.5836,58.36
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A2,250,0.3115,77.87
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A2,500,0.1817,90.84
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A2,1000,0.1572,157.22
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,25,1.2070,30.18
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,50,0.6511,32.56
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,75,0.4763,35.72
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,100,0.3812,38.12
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,250,0.1905,47.63
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,500,0.1016,50.82
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,1000,0.0921,92.10
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,25,1.4830,37.08
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,50,0.8251,41.26
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,75,0.6576,49.32
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,100,0.5352,53.52
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,250,0.2805,70.13
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,500,0.1676,83.82
"4.25"" x 6""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,1000,0.1491,149.10
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,25,1.2070,30.18
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,50,0.6511,32.56
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,75,0.5082,38.12
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,100,0.4129,41.29
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,250,0.2033,50.82
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,500,0.1080,53.99
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,No Blank Envelopes,1000,0.0969,96.86
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,25,1.4830,37.08
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,50,0.8251,41.26
