SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,,RunSize,UnitPrice,TotalPrice
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,"3 Hole Punch - 1/4""",1000,0.3297,329.71
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,No Hole Punch,25,4.1405,103.51
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,No Hole Punch,50,2.2491,112.46
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,No Hole Punch,75,1.6820,126.15
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,No Hole Punch,100,1.3986,139.86
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,No Hole Punch,250,0.6925,173.11
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,No Hole Punch,500,0.3957,197.83
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,No Hole Punch,1000,0.2806,280.64
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,"3 Hole Punch - 1/4""",25,4.6205,115.51
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,"3 Hole Punch - 1/4""",50,2.5091,125.46
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,"3 Hole Punch - 1/4""",75,1.8687,140.15
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,"3 Hole Punch - 1/4""",100,1.5486,154.86
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,"3 Hole Punch - 1/4""",250,0.7925,198.11
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,"3 Hole Punch - 1/4""",500,0.4657,232.83
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,One Score,"3 Hole Punch - 1/4""",1000,0.3356,335.64
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,No Hole Punch,25,4.1405,103.51
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,No Hole Punch,50,2.2491,112.46
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,No Hole Punch,75,1.6820,126.15
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,No Hole Punch,100,1.3986,139.86
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,No Hole Punch,250,0.6925,173.11
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,No Hole Punch,500,0.3957,197.83
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,No Hole Punch,1000,0.2806,280.64
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,"3 Hole Punch - 1/4""",25,4.6205,115.51
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,"3 Hole Punch - 1/4""",50,2.5091,125.46
