SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,PRODUCT STYLE ,,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,1000,0.1113,111.30
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",100,0.5572,55.72
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",250,0.2610,65.25
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",500,0.1369,68.43
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",1000,0.1113,111.30
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,100,0.5254,52.54
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,250,0.2483,62.07
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,500,0.1305,65.25
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,1000,0.1065,106.52
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",100,0.5254,52.54
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",250,0.2483,62.07
