SIZE ,SHAPE ,RADIUS OF CORNERS ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,75,0.2540,19.05
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2065,20.65
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,250,0.0953,23.82
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0508,25.41
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0445,44.46
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,100,0.2382,23.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,250,0.1079,26.98
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,500,0.0635,31.76
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,1000,0.0508,50.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,100,0.2065,20.65
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,250,0.1016,25.41
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0604,30.18
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0476,47.63
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2382,23.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1079,26.98
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0635,31.76
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0508,50.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,100,0.2382,23.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,250,0.1079,26.98
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,500,0.0635,31.76
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,1000,0.0508,50.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,100,0.2065,20.65
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,250,0.1016,25.41
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0604,30.18
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0476,47.63
