SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,,100,0.6670,66.70
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,,250,0.3239,80.97
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,,500,0.1937,96.86
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.1667,166.72
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,,25,2.5402,63.50
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,,50,1.4289,71.45
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,,75,1.0587,79.40
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.8892,88.92
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.4446,111.15
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.2414,120.68
"4.25"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.1890,188.96
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,,25,2.9218,73.04
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,,50,1.5242,76.21
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,,75,1.0587,79.40
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,,100,0.8415,84.15
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,,250,0.4001,100.03
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,,500,0.2223,111.15
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,,1000,0.2096,209.61
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,25,2.0330,50.82
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,50,1.1432,57.16
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,75,0.8467,63.50
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,100,0.6670,66.70
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,250,0.2795,69.86
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,500,0.1842,92.10
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.1810,181.03
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,25,3.0484,76.21
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,50,1.5881,79.40
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,75,1.1009,82.57
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.8892,88.92
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.4255,106.39
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.2350,117.50
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.2239,223.89
"6"" x 9""",14PT Natural,4/1,No Coating,,25,2.6040,65.10
"6"" x 9""",14PT Natural,4/1,No Coating,,50,1.4609,73.04
"6"" x 9""",14PT Natural,4/1,No Coating,,75,1.0587,79.40
"6"" x 9""",14PT Natural,4/1,No Coating,,100,0.9368,93.68
"6"" x 9""",14PT Natural,4/1,No Coating,,250,0.4700,117.50
"6"" x 9""",14PT Natural,4/1,No Coating,,500,0.2636,131.80
"6"" x 9""",14PT Natural,4/1,No Coating,,1000,0.1572,157.20
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,25,2.4774,61.93
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,50,1.3020,65.10
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,75,0.9315,69.86
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,100,0.8257,82.57
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,250,0.3303,82.57
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,500,0.2319,115.93
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.1509,150.85
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,25,2.7312,68.28
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,50,1.5561,77.81
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,75,1.1433,85.75
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,100,1.0162,101.62
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.5018,125.44
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.2795,139.74
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.1778,177.83
