SIZE ,STOCK ,COLORSPEC ,COATING ,POCKETS ,,RunSize,UnitPrice,TotalPrice
"6"" x 9""",14PT Natural,4/1,No Coating,1 Pocket on the Right (Back) Side,On Both Pockets - Horizontal,500,1.3878,693.90
"6"" x 9""",14PT Natural,4/1,No Coating,1 Pocket on the Right (Back) Side,On Both Pockets - Horizontal,1000,0.7749,774.88
"6"" x 9""",14PT Natural,4/1,No Coating,1 Pocket on the Right (Back) Side,On Right (Back) Pocket - Vertical,100,4.9541,495.41
"6"" x 9""",14PT Natural,4/1,No Coating,1 Pocket on the Right (Back) Side,On Right (Back) Pocket - Vertical,250,2.5660,641.49
"6"" x 9""",14PT Natural,4/1,No Coating,1 Pocket on the Right (Back) Side,On Right (Back) Pocket - Vertical,500,1.3878,693.90
"6"" x 9""",14PT Natural,4/1,No Coating,1 Pocket on the Right (Back) Side,On Right (Back) Pocket - Vertical,1000,0.7749,774.88
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Left (Front) Pocket - Horizontal,100,4.9541,495.41
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Left (Front) Pocket - Horizontal,250,2.5660,641.49
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Left (Front) Pocket - Horizontal,500,1.3878,693.90
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Left (Front) Pocket - Horizontal,1000,0.7749,774.88
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,No Business Card Slits,100,4.9541,495.41
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,No Business Card Slits,250,2.5660,641.49
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,No Business Card Slits,500,1.3878,693.90
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,No Business Card Slits,1000,0.7749,774.88
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Right (Back) Pocket - Horizontal,100,4.9541,495.41
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Right (Back) Pocket - Horizontal,250,2.5660,641.49
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Right (Back) Pocket - Horizontal,500,1.3878,693.90
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Right (Back) Pocket - Horizontal,1000,0.7749,774.88
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Left (Front) Pocket - Vertical,100,4.9541,495.41
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Left (Front) Pocket - Vertical,250,2.5660,641.49
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Left (Front) Pocket - Vertical,500,1.3878,693.90
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Left (Front) Pocket - Vertical,1000,0.7749,774.88
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Both Pockets - Vertical,100,4.9541,495.41
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Both Pockets - Vertical,250,2.5660,641.49
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Both Pockets - Vertical,500,1.3878,693.90
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Both Pockets - Vertical,1000,0.7749,774.88
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Both Pockets - Horizontal,100,4.9541,495.41
"6"" x 9""",14PT Natural,4/1,No Coating,2 Pockets Presentation Folder,On Both Pockets - Horizontal,250,2.5660,641.49
