SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,0.3414,341.39
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,0.2199,549.79
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,0.1588,793.94
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,500,0.5081,254.06
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,1000,0.4001,400.14
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,2500,0.2299,574.81
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,5000,0.1635,817.74
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,500,0.5018,250.88
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,1000,0.3970,396.98
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,2500,0.2287,571.63
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,5000,0.1629,814.58
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,500,0.6272,313.60
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,1000,0.4962,496.22
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,2500,0.2858,714.54
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,5000,0.2036,"1,018.22"
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,500,0.6272,313.60
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,1000,0.4962,496.22
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,2500,0.2858,714.54
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,5000,0.2036,"1,018.22"
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,500,0.6272,313.60
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,1000,0.4962,496.22
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,2500,0.2858,714.54
"4"" x 6""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,5000,0.2036,"1,018.22"
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,500,0.4605,230.23
