SIZE ,STOCK ,COLORSPEC ,COATING ,,BUSINESS CARD BOX SIZE ,RunSize,UnitPrice,TotalPrice
"7.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 14PT",500,3.0095,"1,504.76"
"7.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 14PT",1000,1.6921,"1,692.10"
"7.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 14PT",2500,1.0062,"2,515.49"
"7.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 14PT",5000,0.7935,"3,967.38"
"8.75"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 16PT",250,5.2334,"1,308.36"
"8.75"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 16PT",500,2.9310,"1,465.49"
"8.75"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 16PT",1000,1.6483,"1,648.29"
"8.75"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 16PT",2500,0.9796,"2,449.02"
"8.75"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 16PT",5000,0.7720,"3,860.12"
"8.75"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 16PT",250,5.3785,"1,344.63"
"8.75"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 16PT",500,3.0095,"1,504.76"
"8.75"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 16PT",1000,1.6921,"1,692.10"
"8.75"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 16PT",2500,1.0207,"2,551.76"
"8.75"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 16PT",5000,0.7935,"3,967.38"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 18PT",250,5.2334,"1,308.36"
