SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"4.25"" x 11""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1804,450.94
"4.25"" x 11""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.1239,619.26
"5"" x 7""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.5462,273.11
"5"" x 7""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.3049,304.87
"5"" x 7""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1594,398.55
"5"" x 7""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0991,495.41
"5.5"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.6733,336.63
"5.5"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.3731,373.15
"5.5"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1804,450.94
"5.5"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.1239,619.26
"6"" x 9""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.6496,324.80
"6"" x 9""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.3594,359.44
"6"" x 9""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1634,408.51
"6"" x 9""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.1146,573.08
"8.5"" x 11""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.8603,430.17
"8.5"" x 11""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.4764,476.35
"8.5"" x 11""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.2119,529.78
"8.5"" x 11""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.1487,743.41
