SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.4414,441.43
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.2706,676.43
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.1883,941.60
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,500,0.6989,349.47
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,1000,0.4972,497.23
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,2500,0.3366,841.43
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,5000,0.2361,"1,180.40"
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,500,0.8447,422.36
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.5653,565.27
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.3576,893.95
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.2528,"1,263.94"
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,500,0.9085,454.26
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,1000,0.6211,621.07
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,2500,0.4236,"1,058.95"
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,5000,0.3005,"1,502.74"
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.5589,279.46
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.3811,381.08
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.2464,616.10
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.1759,879.68
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,500,0.6227,311.36
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,1000,0.4369,436.88
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,2500,0.3124,781.10
"6"" x 6""",Square,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,5000,0.2237,"1,118.48"
