SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 6""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.2306,576.38
"4.25"" x 6""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.1626,812.98
"4.25"" x 6""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,500,0.5639,281.94
"4.25"" x 6""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,1000,0.4437,443.74
"4.25"" x 6""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,2500,0.2652,662.88
"4.25"" x 6""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,5000,0.1932,965.88
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,500,0.5176,258.82
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,1000,0.4033,403.31
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,2500,0.2318,579.57
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,5000,0.1632,816.16
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A6,500,0.5702,285.12
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A6,1000,0.4469,446.91
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A6,2500,0.2664,666.07
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A6,5000,0.1938,969.06
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,500,0.5113,255.64
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,1000,0.4001,400.14
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,2500,0.2306,576.38
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,5000,0.1626,812.98
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A6,500,0.5639,281.94
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A6,1000,0.4437,443.74
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A6,2500,0.2652,662.88
"4.25"" x 6""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A6,5000,0.1932,965.88
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,500,0.4573,228.66
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.3176,317.57
