SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.0826,20.65
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.0794,39.69
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.0746,74.64
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/1,No Coating,100,0.1587,15.87
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/1,No Coating,250,0.0762,19.05
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/1,No Coating,500,0.0667,33.34
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/1,No Coating,1000,0.0603,60.34
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.1429,14.29
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.0635,15.87
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.0540,26.98
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.0500,50.03
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.1587,15.87
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.0762,19.05
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.0667,33.34
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.0603,60.34
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.1747,17.47
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.0826,20.65
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.0794,39.69
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.0746,74.64
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.1827,18.27
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.0826,20.65
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.0730,36.52
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.0619,61.93
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.2065,20.65
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.0953,23.82
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.0857,42.87
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.0826,82.57
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.1985,19.85
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.0921,23.02
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.0778,38.89
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.0675,67.48
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.2065,20.65
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.0953,23.82
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.0857,42.87
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.0826,82.57
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,100,0.1905,19.05
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,250,0.0889,22.23
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,500,0.0762,38.12
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,1000,0.0667,66.70
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.1747,17.47
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.0762,19.05
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.0635,31.76
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.0556,55.57
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.1905,19.05
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.0889,22.23
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.0762,38.12
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.0667,66.70
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.2065,20.65
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.0953,23.82
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.0857,42.87
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.0826,82.57
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.1507,15.07
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.0699,17.47
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.0572,28.58
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.0532,53.19
