SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,"Standard Drill Hole 1/8""",500,0.1651,82.57
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,"Standard Drill Hole 1/8""",1000,0.1270,127.04
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Drill Hole,100,0.4129,41.29
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Drill Hole,250,0.2414,60.34
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Drill Hole,500,0.1651,82.57
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Drill Hole,1000,0.1270,127.04
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,"Standard Drill Hole 1/8""",100,0.4129,41.29
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,"Standard Drill Hole 1/8""",250,0.2414,60.34
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,"Standard Drill Hole 1/8""",500,0.1651,82.57
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,"Standard Drill Hole 1/8""",1000,0.1270,127.04
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Drill Hole,100,0.3889,38.89
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Drill Hole,250,0.2286,57.16
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Drill Hole,500,0.1524,76.21
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Drill Hole,1000,0.1167,116.70
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,"Standard Drill Hole 1/8""",100,0.3889,38.89
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,"Standard Drill Hole 1/8""",250,0.2286,57.16
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,"Standard Drill Hole 1/8""",500,0.1524,76.21
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,"Standard Drill Hole 1/8""",1000,0.1167,116.70
"2"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Drill Hole,100,0.4129,41.29
