SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,Include Kraft Envelopes - A7,100,0.6612,66.12
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,Include Kraft Envelopes - A7,250,0.4086,102.16
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,Include Kraft Envelopes - A7,500,0.3651,182.57
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,Include Kraft Envelopes - A7,1000,0.3542,354.19
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Blank Envelopes,100,0.4923,49.23
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Blank Envelopes,250,0.2922,73.04
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Blank Envelopes,500,0.2858,142.91
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Blank Envelopes,1000,0.2811,281.05
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Include Kraft Envelopes - A7,100,0.7723,77.23
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Include Kraft Envelopes - A7,250,0.4722,118.04
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Include Kraft Envelopes - A7,500,0.4318,215.91
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Include Kraft Envelopes - A7,1000,0.4241,424.05
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Blank Envelopes,100,0.4923,49.23
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Blank Envelopes,250,0.2922,73.04
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Blank Envelopes,500,0.2858,142.91
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Blank Envelopes,1000,0.2811,281.05
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A7,100,0.7723,77.23
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A7,250,0.4722,118.04
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A7,500,0.4318,215.91
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A7,1000,0.4241,424.05
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Blank Envelopes,100,0.3176,31.76
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Blank Envelopes,250,0.1905,47.63
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Blank Envelopes,500,0.1810,90.51
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Blank Envelopes,1000,0.1747,174.67
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A7,100,0.5976,59.76
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A7,250,0.3705,92.63
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A7,500,0.3270,163.51
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A7,1000,0.3177,317.67
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Blank Envelopes,100,0.3969,39.69
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Blank Envelopes,250,0.2414,60.34
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Blank Envelopes,500,0.2350,117.50
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Blank Envelopes,1000,0.2302,230.23
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A7,100,0.6769,67.69
