SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.1016,101.62
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.2461,24.61
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.1397,34.93
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.1302,65.10
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.1016,101.62
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.1985,19.85
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.0953,23.82
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.0857,42.87
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.0794,79.40
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.2302,23.02
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.1143,28.58
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.1048,52.39
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.1000,100.03
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.2302,23.02
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.1143,28.58
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.1048,52.39
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.0969,96.86
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,100,0.3334,33.34
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,250,0.2033,50.82
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,500,0.1937,96.86
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,1000,0.1874,187.37
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.3018,30.18
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.1715,42.87
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.1715,85.75
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.1667,166.72
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.4287,42.87
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.2604,65.10
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.2541,127.04
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.2477,247.71
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.4287,42.87
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.2604,65.10
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.2541,127.04
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.2477,247.71
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.4287,42.87
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.2604,65.10
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.2541,127.04
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.2477,247.71
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.2858,28.58
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.1651,41.29
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.1588,79.40
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.1540,154.02
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.3493,34.93
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.2096,52.39
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.2032,101.62
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.1969,196.90
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.3493,34.93
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.2096,52.39
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.2096,104.79
"3.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.2032,203.25
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,100,0.3334,33.34
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,250,0.2033,50.82
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,500,0.1937,96.86
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,1000,0.1874,187.37
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.3018,30.18
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.1715,42.87
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.1715,85.75
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.1667,166.72
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.4287,42.87
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.2604,65.10
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.2541,127.04
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.2477,247.71
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.4287,42.87
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.2604,65.10
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.2541,127.04
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.2477,247.71
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.4287,42.87
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.2604,65.10
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.2541,127.04
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.2477,247.71
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.2858,28.58
