SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"6"" x 18""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,100,1.0162,101.62
"6"" x 18""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,250,0.6288,157.20
"6"" x 18""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,500,0.6288,314.39
"6"" x 18""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,1000,0.6240,624.04
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,100,1.2386,123.86
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,250,0.7812,195.30
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,500,0.7717,385.84
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,1000,0.7653,765.35
"6"" x 18""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,100,0.8097,80.97
"6"" x 18""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,250,0.5081,127.04
"6"" x 18""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,500,0.4668,233.42
"6"" x 18""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,1000,0.4414,441.43
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,100,1.2386,123.86
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,250,0.7812,195.30
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,500,0.7717,385.84
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,1000,0.7653,765.35
"6"" x 18""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,100,1.0479,104.79
"6"" x 18""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,250,0.6478,161.96
"6"" x 18""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,500,0.6256,312.81
"6"" x 18""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,1000,0.5748,574.81
"6"" x 18""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,100,0.8575,85.75
"6"" x 18""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,250,0.5208,130.20
"6"" x 18""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,500,0.5145,257.24
"6"" x 18""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,1000,0.5081,508.11
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,100,1.2386,123.86
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,250,0.7812,195.30
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,500,0.7717,385.84
"6"" x 18""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,1000,0.7653,765.35
"6"" x 18""",18PT Uncoated Kraft,4/1,No Coating,,100,0.9846,98.46
"6"" x 18""",18PT Uncoated Kraft,4/1,No Coating,,250,0.6161,154.02
"6"" x 18""",18PT Uncoated Kraft,4/1,No Coating,,500,0.5970,298.52
"6"" x 18""",18PT Uncoated Kraft,4/1,No Coating,,1000,0.5558,555.76
"8"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,100,0.9368,93.68
"8"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,250,0.5844,146.09
"8"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,500,0.5494,274.71
"8"" x 10""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,1000,0.5446,544.64
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,100,0.9846,98.46
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,250,0.6161,154.02
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,500,0.5970,298.52
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,1000,0.5843,584.32
"8"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,100,0.7464,74.64
"8"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,250,0.4700,117.50
"8"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,500,0.4382,219.12
"8"" x 10""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,1000,0.4255,425.54
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,100,0.9846,98.46
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,250,0.6161,154.02
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,500,0.5970,298.52
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,1000,0.5843,584.32
"8"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,100,0.9686,96.86
"8"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,250,0.6034,150.85
