SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,250,0.5825,145.62
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,500,0.4572,228.61
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,1000,0.4191,419.11
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,100,0.7781,77.81
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,250,0.4129,103.22
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,500,0.3144,157.20
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,1000,0.2795,279.46
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,100,0.9881,98.81
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,250,0.5889,147.22
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,500,0.4604,230.20
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,1000,0.4255,425.46
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,25,1.5875,39.69
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,50,0.8574,42.87
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,75,0.8258,61.93
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,100,0.7145,71.45
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,250,0.3747,93.68
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,500,0.2922,146.09
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,1000,0.2652,265.18
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,25,1.5875,39.69
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,50,1.1374,56.87
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,75,1.0925,81.93
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,100,0.9745,97.45
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,250,0.5867,146.68
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,500,0.4682,234.09
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,1000,0.4412,441.18
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,25,1.2704,31.76
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,50,0.7624,38.12
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,75,0.7410,55.57
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,100,0.6350,63.50
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,250,0.3493,87.33
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,500,0.2763,138.14
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,1000,0.2541,254.06
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A6,25,1.2704,31.76
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A6,50,1.0424,52.12
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A6,75,1.0077,75.57
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A6,100,0.8950,89.50
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A6,250,0.5613,140.33
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A6,500,0.4523,226.14
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A6,1000,0.4301,430.06
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,25,1.7786,44.46
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,50,0.9846,49.23
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,75,0.9315,69.86
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,100,0.7621,76.21
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,250,0.4065,101.62
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,500,0.3112,155.61
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,1000,0.2731,273.11
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A6,25,1.7786,44.46
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A6,50,1.2646,63.23
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A6,75,1.1982,89.86
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A6,100,1.0221,102.21
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A6,250,0.6185,154.62
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A6,500,0.4872,243.61
"4.25"" x 6""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A6,1000,0.4491,449.11
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,100,0.7304,73.04
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,250,0.3811,95.28
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,500,0.2953,147.67
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,1000,0.2699,269.94
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,100,0.9904,99.04
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,250,0.5931,148.28
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,500,0.4713,235.67
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A6,1000,0.4459,445.94
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,100,0.6510,65.10
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,250,0.3557,88.92
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,500,0.2795,139.74
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,1000,0.2588,258.82
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A6,100,0.9110,91.10
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A6,250,0.5677,141.92
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A6,500,0.4555,227.74
