SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"4"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,1000,0.2811,281.05
"4"" x 9""",14PT Pearl Metallic,4/1,No Coating,,25,2.0958,52.39
"4"" x 9""",14PT Pearl Metallic,4/1,No Coating,,50,1.1115,55.57
"4"" x 9""",14PT Pearl Metallic,4/1,No Coating,,75,0.9526,71.45
"4"" x 9""",14PT Pearl Metallic,4/1,No Coating,,100,0.7464,74.64
"4"" x 9""",14PT Pearl Metallic,4/1,No Coating,,250,0.3874,96.86
"4"" x 9""",14PT Pearl Metallic,4/1,No Coating,,500,0.2985,149.25
"4"" x 9""",14PT Pearl Metallic,4/1,No Coating,,1000,0.2683,268.35
"4"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,25,2.2230,55.57
"4"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,50,1.1751,58.75
"4"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,75,1.0587,79.40
"4"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,100,0.7940,79.40
"4"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,250,0.4192,104.79
"4"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,500,0.3176,158.78
"4"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,1000,0.2763,276.29
"4"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,25,1.9053,47.63
"4"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,50,1.0165,50.82
"4"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,75,0.8680,65.10
"4"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,100,0.6670,66.70
"4"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,250,0.3621,90.51
"4"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,500,0.2826,141.31
"4"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,1000,0.2572,257.24
"4.25"" x 11""",14PT Pearl Metallic,4/1,No Coating,,25,2.6993,67.48
"4.25"" x 11""",14PT Pearl Metallic,4/1,No Coating,,50,1.5927,79.63
"4.25"" x 11""",14PT Pearl Metallic,4/1,No Coating,,75,1.2779,95.84
"4.25"" x 11""",14PT Pearl Metallic,4/1,No Coating,,100,1.0322,103.22
"4.25"" x 11""",14PT Pearl Metallic,4/1,No Coating,,250,0.6161,154.02
"4.25"" x 11""",14PT Pearl Metallic,4/1,No Coating,,500,0.3747,187.37
"4.25"" x 11""",14PT Pearl Metallic,4/1,No Coating,,1000,0.3493,349.33
"4.25"" x 11""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,25,2.6993,67.48
"4.25"" x 11""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,50,1.6468,82.34
"4.25"" x 11""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,75,1.3499,101.24
"4.25"" x 11""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,100,1.0639,106.39
"4.25"" x 11""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,250,0.6415,160.38
"4.25"" x 11""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,500,0.3938,196.90
"4.25"" x 11""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,1000,0.3589,358.86
"4.25"" x 11""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,25,2.3756,59.39
"4.25"" x 11""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,50,1.4576,72.88
"4.25"" x 11""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,75,1.2236,91.77
"4.25"" x 11""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,100,0.9846,98.46
"4.25"" x 11""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,250,0.5844,146.09
"4.25"" x 11""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,500,0.3557,177.83
"4.25"" x 11""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,1000,0.3398,339.81
"5.5"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,25,3.1761,79.40
"5.5"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,50,1.5927,79.63
"5.5"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,75,1.2779,95.84
"5.5"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,100,1.0322,103.22
"5.5"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,250,0.6161,154.02
"5.5"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,500,0.3747,187.37
"5.5"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,1000,0.3493,349.33
"5.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,25,2.9856,74.64
"5.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,50,1.6468,82.34
"5.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,75,1.3499,101.24
"5.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,100,1.0639,106.39
"5.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,250,0.6415,160.38
"5.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,500,0.3938,196.90
"5.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,1000,0.3589,358.86
"5.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,25,2.4774,61.93
"5.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,50,1.4576,72.88
"5.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,75,1.2236,91.77
"5.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,100,0.9846,98.46
"5.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,250,0.5844,146.09
"5.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,500,0.3557,177.83
"5.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,1000,0.3398,339.81
"6"" x 9""",14PT Pearl Metallic,4/1,No Coating,,25,2.9218,73.04
"6"" x 9""",14PT Pearl Metallic,4/1,No Coating,,50,1.7150,85.75
"6"" x 9""",14PT Pearl Metallic,4/1,No Coating,,75,1.4609,109.57
"6"" x 9""",14PT Pearl Metallic,4/1,No Coating,,100,1.1433,114.33
"6"" x 9""",14PT Pearl Metallic,4/1,No Coating,,250,0.6415,160.38
"6"" x 9""",14PT Pearl Metallic,4/1,No Coating,,500,0.3906,195.30
"6"" x 9""",14PT Pearl Metallic,4/1,No Coating,,1000,0.3541,354.10
"6"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,25,2.9218,73.04
"6"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,50,1.8419,92.10
"6"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,75,1.4609,109.57
"6"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,100,1.1750,117.50
"6"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,250,0.6796,169.90
"6"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,500,0.4192,209.61
"6"" x 9""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,1000,0.3668,366.80
"6"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,25,2.6040,65.10
"6"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,50,1.6514,82.57
"6"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,75,1.3550,101.62
"6"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,100,1.1273,112.73
"6"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,250,0.6161,154.02
"6"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,500,0.3716,185.78
"6"" x 9""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,1000,0.3509,350.92
