SIZE ,STOCK ,COLORSPEC ,COATING ,LAMINATION ,FOIL COLOR ,SECOND RAISED COLOR ,RAISED FOIL SIDE ,,,RunSize,UnitPrice,TotalPrice
"2"" x 3.5"" (US Standard)",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Velvet,Gold Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,100,0.7275,72.75
"2"" x 3.5"" (US Standard)",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Velvet,Gold Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,250,0.4074,101.85
"2"" x 3.5"" (US Standard)",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Velvet,Gold Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,500,0.2750,137.51
"2"" x 3.5"" (US Standard)",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Velvet,Silver Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,100,0.7275,72.75
"2"" x 3.5"" (US Standard)",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Velvet,Silver Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,250,0.4074,101.85
"2"" x 3.5"" (US Standard)",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Velvet,Silver Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,500,0.2750,137.51
"2"" x 3.5"" (US Standard)",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Velvet,Holographic,,Raised Foil Front,Raised Spot UV Front,50 Microns,100,0.7275,72.75
"2"" x 3.5"" (US Standard)",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Velvet,Holographic,,Raised Foil Front,Raised Spot UV Front,50 Microns,250,0.4074,101.85
"2"" x 3.5"" (US Standard)",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Velvet,Holographic,,Raised Foil Front,Raised Spot UV Front,50 Microns,500,0.2750,137.51
"2"" x 3.5"" (US Standard)",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Velvet,Gold Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,100,0.7275,72.75
"2"" x 3.5"" (US Standard)",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Velvet,Gold Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,250,0.4074,101.85
"2"" x 3.5"" (US Standard)",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Velvet,Gold Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,500,0.2750,137.51
"2"" x 3.5"" (US Standard)",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Velvet,Silver Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,100,0.7275,72.75
"2"" x 3.5"" (US Standard)",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Velvet,Silver Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,250,0.4074,101.85
"2"" x 3.5"" (US Standard)",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Velvet,Silver Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,500,0.2750,137.51
"2"" x 3.5"" (US Standard)",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Velvet,Holographic,,Raised Foil Front,Raised Spot UV Front,50 Microns,100,0.7275,72.75
"2"" x 3.5"" (US Standard)",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Velvet,Holographic,,Raised Foil Front,Raised Spot UV Front,50 Microns,250,0.4074,101.85
"2"" x 3.5"" (US Standard)",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Velvet,Holographic,,Raised Foil Front,Raised Spot UV Front,50 Microns,500,0.2750,137.51
"2"" x 3.5"" (US Standard)",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Velvet,Gold Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,100,0.7275,72.75
"2"" x 3.5"" (US Standard)",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Velvet,Gold Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,250,0.4074,101.85
"2"" x 3.5"" (US Standard)",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Velvet,Gold Foil,,Raised Foil Front,Raised Spot UV Front,50 Microns,500,0.2750,137.51
