SIZE ,SHAPE ,RADIUS OF CORNERS ,STOCK ,COLORSPEC ,COATING ,SPOT UV SIDES ,LAMINATION ,FOIL COLOR ,RunSize,UnitPrice,TotalPrice
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Silk,Blue Foil,5000,0.1551,775.46
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Silk,Rose Gold Foil,500,0.3389,169.47
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Silk,Rose Gold Foil,1000,0.1853,185.34
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Silk,Rose Gold Foil,2500,0.1658,414.58
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Silk,Rose Gold Foil,5000,0.1551,775.46
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Gold Foil,500,0.3208,160.38
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Gold Foil,1000,0.1762,176.25
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Gold Foil,2500,0.1639,409.66
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Gold Foil,5000,0.1512,755.81
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Silver Foil,500,0.3208,160.38
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Silver Foil,1000,0.1762,176.25
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Silver Foil,2500,0.1639,409.66
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Silver Foil,5000,0.1512,755.81
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Copper Foil,500,0.3208,160.38
