SIZE ,SHAPE ,RADIUS OF CORNERS ,STOCK ,COLORSPEC ,COATING ,,LAMINATION ,FOIL COLOR ,RunSize,UnitPrice,TotalPrice
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Silk,Gold Foil,5000,0.1277,638.31
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Silk,Red Foil,500,0.2668,133.38
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Silk,Red Foil,1000,0.1493,149.25
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Silk,Red Foil,2500,0.1347,336.63
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Silk,Red Foil,5000,0.1277,638.31
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Silk,Black Foil,500,0.2668,133.38
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Silk,Black Foil,1000,0.1493,149.25
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Silk,Black Foil,2500,0.1347,336.63
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Silk,Black Foil,5000,0.1277,638.31
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Rose Gold Foil,500,0.3208,160.38
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Rose Gold Foil,1000,0.1762,176.25
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Rose Gold Foil,2500,0.1639,409.66
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Rose Gold Foil,5000,0.1512,755.81
