SIZE ,STOCK ,COLORSPEC ,COATING ,,FOIL COLOR ,RunSize,UnitPrice,TotalPrice
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Copper Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Rose Gold Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Rose Gold Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Rose Gold Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Rose Gold Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Blue Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Blue Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Blue Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Blue Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Gold Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Gold Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Gold Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Gold Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silver Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silver Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silver Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silver Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Red Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Red Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Red Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Red Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Black Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Black Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Black Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Black Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Copper Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Copper Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Copper Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Copper Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Rose Gold Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Rose Gold Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Rose Gold Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Rose Gold Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Blue Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Blue Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Blue Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Blue Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Gold Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Gold Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Gold Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Gold Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silver Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silver Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silver Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silver Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Red Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Red Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Red Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Red Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Black Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Black Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Black Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Black Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Copper Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Copper Foil,1000,0.1477,147.67
