SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,EDGE COLOR ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Blue,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Blue,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Yellow,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Yellow,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Yellow,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Yellow,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Yellow,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Yellow,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Brown,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Brown,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Brown,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Brown,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Brown,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Brown,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Purple,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Purple,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Purple,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Purple,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Purple,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Purple,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Blue,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Blue,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Blue,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Blue,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Blue,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Blue,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Red,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Red,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Red,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Red,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Red,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Red,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Black,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Black,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Black,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Black,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Black,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Black,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,White (Not Painted),No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,White (Not Painted),No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,White (Not Painted),No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,White (Not Painted),Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,White (Not Painted),Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,White (Not Painted),Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Yellow,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Yellow,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Yellow,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Yellow,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Yellow,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Yellow,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Turquoise,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Turquoise,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Turquoise,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Turquoise,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Turquoise,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Turquoise,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Purple,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Purple,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Purple,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Purple,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Purple,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Purple,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Pink,No Blank Envelopes,250,0.6980,174.49
